alpha_resin,alpha_short,alpha_long,crossover_threshold,spread_margin,RAINFOREST_RESIN_PnL,KELP_PnL,Total_PnL
0.1,0.3,0.15,1.0,0.0,352.0,0.0,352.0
0.1,0.3,0.15,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.15,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.05,0.0,0.0,352.0,-6107.0,-5755.0
0.1,0.4,0.05,0.0,0.5,-9650.0,-6107.0,-15757.0
0.1,0.4,0.05,0.0,1.0,30348.0,-6107.0,24241.0
0.1,0.4,0.05,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.05,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.05,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.05,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.05,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.05,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.1,0.0,0.0,352.0,-2037.0,-1685.0
0.1,0.4,0.1,0.0,0.5,-9650.0,-2037.0,-11687.0
0.1,0.4,0.1,0.0,1.0,30348.0,-2037.0,28311.0
0.1,0.4,0.1,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.1,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.1,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.1,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.1,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.1,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.15,0.0,0.0,352.0,-1.0,351.0
0.1,0.4,0.15,0.0,0.5,-9650.0,-1.0,-9651.0
0.1,0.4,0.15,0.0,1.0,30348.0,-1.0,30347.0
0.1,0.4,0.15,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.15,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.15,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.15,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.15,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.15,1.0,1.0,30348.0,0.0,30348.0
0.2,0.2,0.05,0.0,0.0,-19648.0,-2033.0,-21681.0
0.2,0.2,0.05,0.0,0.5,-19652.0,-2033.0,-21685.0
0.2,0.2,0.05,0.0,1.0,10334.0,-2033.0,8301.0
0.2,0.2,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.05,0.5,1.0,10334.0,0.0,10334.0
